SKU,Nama Barang,BERAT (GR),BERAT (KG),Barcode Number,UPC / Barcode Product,MANUAL DATA VALIDATION,SKU GPU,KATEGORI,raw_name,clean_name,aug_variants,augmented_text,aug_variants_str
101344, Ribeye Steak AUS 180 gr,180,0.18,1013440018,1013440018.0,1013440018 -  Ribeye Steak AUS 180 gr,101344,Daging Steak, Ribeye Steak AUS 180 gr,s us,"['s us untuk masakan indonesia', 's us cocok untuk panggang', 's us cocok untuk tumis untuk masakan indonesia', 's us', 's us masakan nusantara', 's us cocok untuk grill untuk masakan indonesia']",s us untuk masakan indonesia . s us cocok untuk panggang . s us cocok untuk tumis untuk masakan indonesia . s us . s us masakan nusantara . s us cocok untuk grill untuk masakan indonesia,s us untuk masakan indonesia|s us cocok untuk panggang|s us cocok untuk tumis untuk masakan indonesia|s us|s us masakan nusantara|s us cocok untuk grill untuk masakan indonesia
100983, Ribeye Steak AUS 200 gr,200,0.2,1009830020,1009830020.0,1009830020 -  Ribeye Steak AUS 200 gr,100983,Daging Steak, Ribeye Steak AUS 200 gr,s us,"['s us ideal untuk steak', 's us menu rumahan', 's us untuk masakan indonesia', 's us cocok untuk panggang', 's us', 's us cocok untuk grill untuk masakan indonesia']",s us ideal untuk steak . s us menu rumahan . s us untuk masakan indonesia . s us cocok untuk panggang . s us . s us cocok untuk grill untuk masakan indonesia,s us ideal untuk steak|s us menu rumahan|s us untuk masakan indonesia|s us cocok untuk panggang|s us|s us cocok untuk grill untuk masakan indonesia
101345, Ribeye Steak AUS 230 gr,230,0.23,1013450023,1013450023.0,1013450023 -  Ribeye Steak AUS 230 gr,101345,Daging Steak, Ribeye Steak AUS 230 gr,s us,"['s us cocok untuk panggang', 's us cocok untuk tumis', 's us cocok untuk panggang untuk masakan indonesia', 's us', 's us menu rumahan untuk masakan indonesia', 's us masakan nusantara']",s us cocok untuk panggang . s us cocok untuk tumis . s us cocok untuk panggang untuk masakan indonesia . s us . s us menu rumahan untuk masakan indonesia . s us masakan nusantara,s us cocok untuk panggang|s us cocok untuk tumis|s us cocok untuk panggang untuk masakan indonesia|s us|s us menu rumahan untuk masakan indonesia|s us masakan nusantara
101361, Ribeye Steak AUS 250 gr,250,0.25,1013610025,1013610025.0,1013610025 -  Ribeye Steak AUS 250 gr,101361,Daging Steak, Ribeye Steak AUS 250 gr,s us,"['s us ideal untuk steak', 's us untuk masakan indonesia', 's us masakan nusantara untuk masakan indonesia', 's us', 's us masakan nusantara', 's us cocok untuk grill']",s us ideal untuk steak . s us untuk masakan indonesia . s us masakan nusantara untuk masakan indonesia . s us . s us masakan nusantara . s us cocok untuk grill,s us ideal untuk steak|s us untuk masakan indonesia|s us masakan nusantara untuk masakan indonesia|s us|s us masakan nusantara|s us cocok untuk grill
100982, Ribeye Steak AUS 400 gr,400,0.4,1009820040,1009820040.0,1009820040 -  Ribeye Steak AUS 400 gr,100982,Daging Steak, Ribeye Steak AUS 400 gr,s us,"['s us ideal untuk steak', 's us untuk masakan indonesia', 's us cocok untuk tumis', 's us masakan nusantara untuk masakan indonesia', 's us', 's us masakan nusantara']",s us ideal untuk steak . s us untuk masakan indonesia . s us cocok untuk tumis . s us masakan nusantara untuk masakan indonesia . s us . s us masakan nusantara,s us ideal untuk steak|s us untuk masakan indonesia|s us cocok untuk tumis|s us masakan nusantara untuk masakan indonesia|s us|s us masakan nusantara
100015, CST Daging Semur Potong OSV 250 gr,250,0.25,1000150025,1000150025.0,1000150025 -  CST Daging Semur Potong OSV 250 gr,100015,Daging Steak, CST Daging Semur Potong OSV 250 gr,s s u s,"['s s u s untuk masakan indonesia', 's s u s masakan nusantara untuk masakan indonesia', 's s u s cocok untuk grill untuk masakan indonesia', 's s u s menu rumahan', 's s u s', 's s u s ideal untuk steak untuk masakan indonesia']",s s u s untuk masakan indonesia . s s u s masakan nusantara untuk masakan indonesia . s s u s cocok untuk grill untuk masakan indonesia . s s u s menu rumahan . s s u s . s s u s ideal untuk steak untuk masakan indonesia,s s u s untuk masakan indonesia|s s u s masakan nusantara untuk masakan indonesia|s s u s cocok untuk grill untuk masakan indonesia|s s u s menu rumahan|s s u s|s s u s ideal untuk steak untuk masakan indonesia
101358, Ribeye Steak AUS End Cut 160 gr,160,0.16,1013580016,1013580016.0,1013580016 -  Ribeye Steak AUS End Cut 160 gr,101358,Daging Steak, Ribeye Steak AUS End Cut 160 gr,s us u,"['s us u cocok untuk grill untuk masakan indonesia', 's us u masakan nusantara', 's us u untuk masakan indonesia', 's us u ideal untuk steak', 's us u', 's us u cocok untuk panggang']",s us u cocok untuk grill untuk masakan indonesia . s us u masakan nusantara . s us u untuk masakan indonesia . s us u ideal untuk steak . s us u . s us u cocok untuk panggang,s us u cocok untuk grill untuk masakan indonesia|s us u masakan nusantara|s us u untuk masakan indonesia|s us u ideal untuk steak|s us u|s us u cocok untuk panggang
101359, Ribeye Steak AUS End Cut 180 gr,180,0.18,1013590018,1013590018.0,1013590018 -  Ribeye Steak AUS End Cut 180 gr,101359,Daging Steak, Ribeye Steak AUS End Cut 180 gr,s us u,"['s us u cocok untuk panggang untuk masakan indonesia', 's us u ideal untuk steak', 's us u cocok untuk tumis', 's us u menu rumahan', 's us u', 's us u cocok untuk panggang']",s us u cocok untuk panggang untuk masakan indonesia . s us u ideal untuk steak . s us u cocok untuk tumis . s us u menu rumahan . s us u . s us u cocok untuk panggang,s us u cocok untuk panggang untuk masakan indonesia|s us u ideal untuk steak|s us u cocok untuk tumis|s us u menu rumahan|s us u|s us u cocok untuk panggang
101360, Ribeye Steak AUS End Cut 200 gr,200,0.2,1013600020,1013600020.0,1013600020 -  Ribeye Steak AUS End Cut 200 gr,101360,Daging Steak, Ribeye Steak AUS End Cut 200 gr,s us u,"['s us u masakan nusantara', 's us u untuk masakan indonesia', 's us u menu rumahan untuk masakan indonesia', 's us u cocok untuk tumis', 's us u', 's us u cocok untuk panggang']",s us u masakan nusantara . s us u untuk masakan indonesia . s us u menu rumahan untuk masakan indonesia . s us u cocok untuk tumis . s us u . s us u cocok untuk panggang,s us u masakan nusantara|s us u untuk masakan indonesia|s us u menu rumahan untuk masakan indonesia|s us u cocok untuk tumis|s us u|s us u cocok untuk panggang
101362, Ribeye Steak AUS End Cut 250 gr,250,0.25,1013620025,1013620025.0,1013620025 -  Ribeye Steak AUS End Cut 250 gr,101362,Daging Steak, Ribeye Steak AUS End Cut 250 gr,s us u,"['s us u untuk masakan indonesia', 's us u ideal untuk steak', 's us u cocok untuk tumis', 's us u menu rumahan', 's us u', 's us u cocok untuk panggang']",s us u untuk masakan indonesia . s us u ideal untuk steak . s us u cocok untuk tumis . s us u menu rumahan . s us u . s us u cocok untuk panggang,s us u untuk masakan indonesia|s us u ideal untuk steak|s us u cocok untuk tumis|s us u menu rumahan|s us u|s us u cocok untuk panggang
101228, Ribeye US Choice Steak 200 gr,200,0.2,1012280020,1012280020.0,1012280020 -  Ribeye US Choice Steak 200 gr,101228,Daging Premium, Ribeye US Choice Steak 200 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s cocok untuk tumis untuk masakan indonesia', 'us s untuk masakan indonesia', 'us s cocok untuk grill untuk masakan indonesia', 'us s cocok untuk grill']",us s . us s cocok untuk tumis . us s cocok untuk tumis untuk masakan indonesia . us s untuk masakan indonesia . us s cocok untuk grill untuk masakan indonesia . us s cocok untuk grill,us s|us s cocok untuk tumis|us s cocok untuk tumis untuk masakan indonesia|us s untuk masakan indonesia|us s cocok untuk grill untuk masakan indonesia|us s cocok untuk grill
100728, Ribeye US Choice Steak 230 gr,230,0.23,1007280023,1007280023.0,1007280023 -  Ribeye US Choice Steak 230 gr,100728,Daging Premium, Ribeye US Choice Steak 230 gr,us s,"['us s', 'us s untuk masakan indonesia', 'us s cocok untuk tumis untuk masakan indonesia', 'us s menu rumahan', 'us s cocok untuk panggang', 'us s ideal untuk steak']",us s . us s untuk masakan indonesia . us s cocok untuk tumis untuk masakan indonesia . us s menu rumahan . us s cocok untuk panggang . us s ideal untuk steak,us s|us s untuk masakan indonesia|us s cocok untuk tumis untuk masakan indonesia|us s menu rumahan|us s cocok untuk panggang|us s ideal untuk steak
100729, Ribeye US Choice Steak 250 gr,250,0.25,1007290025,1007290025.0,1007290025 -  Ribeye US Choice Steak 250 gr,100729,Daging Premium, Ribeye US Choice Steak 250 gr,us s,"['us s', 'us s untuk masakan indonesia', 'us s menu rumahan', 'us s menu rumahan untuk masakan indonesia', 'us s cocok untuk panggang', 'us s ideal untuk steak']",us s . us s untuk masakan indonesia . us s menu rumahan . us s menu rumahan untuk masakan indonesia . us s cocok untuk panggang . us s ideal untuk steak,us s|us s untuk masakan indonesia|us s menu rumahan|us s menu rumahan untuk masakan indonesia|us s cocok untuk panggang|us s ideal untuk steak
